,Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots,latitude,longitude,Count
86,LAMBERT-ST LOUIS INTL,GULFAERO IV,None,5/30/1990,BUSINESS,Missouri,Landing Roll,Small,European starling,Day,0,0,0,140.0,38.7499,-90.3748,189
87,LAMBERT-ST LOUIS INTL,B-737-300,None,5/31/1990,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135.0,38.7499,-90.3748,189
88,LOUISVILLE INTL ARPT,DC-8,None,5/31/1990,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0,38.186,-85.7412,272
89,BARKSDALE AIR FORCE BASE ARPT,B-52,None,6/1/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,146.0,32.5019,-93.6571,435
90,DALLAS/FORT WORTH INTL ARPT,DC-10,None,6/1/1990,AMERICAN AIRLINES,Texas,Landing Roll,Small,European starling,Day,0,0,0,120.0,32.8998,-97.0403,908
91,DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/4/1990,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210.0,32.8998,-97.0403,908
92,WILL ROGERS WORLD ARPT,MD-80,None,6/5/1990,AMERICAN AIRLINES,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,180.0,35.3931,-97.6006,83
93,LAMBERT-ST LOUIS INTL,B-737-200,None,6/6/1990,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210.0,38.7499,-90.3748,189
94,GREATER PITTSBURGH,A-7,None,6/7/1990,MILITARY,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,120.0,40.3565,-79.9193,289
95,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/7/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,200.0,32.5019,-93.6571,435
96,CHICAGO O'HARE INTL ARPT,MD-80,None,6/7/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,210.0,41.9803,-87.909,430
97,METRO OAKLAND INTL,B-737-200,None,6/8/1990,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135.0,37.7126,-122.2197,106
98,NASHVILLE INTL,B-727-200,None,6/9/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,136.0,36.1263,-86.6774,297
99,BALTIMORE WASH INTL,BA-31 JETSTR,None,6/9/1990,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0,39.17329,-76.68408,201
100,GREATER PITTSBURGH,B-727,None,6/11/1990,UNITED AIRLINES,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,,40.3565,-79.9193,289
101,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/12/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0,32.5019,-93.6571,435
102,WILL ROGERS WORLD ARPT,B-737-300,None,6/12/1990,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135.0,35.3931,-97.6006,83
103,SAN ANTONIO INTL,DC-10-10,None,6/14/1990,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0,29.5312,-98.4683,158
104,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,6/14/1990,US AIRWAYS*,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,120.0,39.0508,-84.6673,263
105,NASHVILLE INTL,B-727-100,None,6/14/1990,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,85.0,36.1263,-86.6774,297
106,WILL ROGERS WORLD ARPT,B-737-200,Medium,6/17/1990,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0,35.3931,-97.6006,83
107,LOGAN INTL,B-757-200,None,6/18/1990,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,130.0,42.3656,-71.0096,146
108,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/19/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0,32.5019,-93.6571,435
109,GREATER PITTSBURGH,MD-80,None,6/19/1990,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130.0,40.3565,-79.9193,289
110,SAN FRANCISCO INTL ARPT,DC-8-70,None,6/20/1990,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0,37.6213,-122.379,146
111,ORLANDO INTL,MD-80,None,6/21/1990,AMERICAN AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0,28.4179,-81.3041,153
112,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/22/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0,32.5019,-93.6571,435
113,HOUSTON-HOBBY,B-737-300,None,6/23/1990,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250.0,29.6459,-95.2769,151
114,CLEVELAND-HOPKINS INTL ARPT,B-737,None,6/23/1990,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110.0,41.4058,-81.8539,98
115,CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,None,6/23/1990,PSA AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,100.0,41.4058,-81.8539,98
116,MINETA SAN JOSE INTL,MD-80,None,6/23/1990,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,110.0,37.3639,-121.9289,120
117,PORT COLUMBUS INTL,B-727,None,6/23/1990,UNKNOWN,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,,39.9999,-82.8872,112
118,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,6/26/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160.0,32.5019,-93.6571,435
119,EPPLEY AIRFIELD,MD-87,None,6/26/1990,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,41.3015,-95.8945,118
120,ATLANTIC CITY INTL,CV-580,None,6/27/1990,GOVERNMENT,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,40.0,39.4528,-74.5714,86
121,CHICAGO O'HARE INTL ARPT,B-727-200,None,6/28/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,130.0,41.9803,-87.909,430
122,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,6/28/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0,32.8998,-97.0403,908
123,CHICAGO O'HARE INTL ARPT,MD-80,None,6/30/1990,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145.0,41.9803,-87.909,430
124,DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/1/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,32.8998,-97.0403,908
125,HONOLULU INTL ARPT,DC-10-10,None,7/3/1990,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137.0,21.3186,-157.9253,135
126,GEORGE BUSH INTERCONTINENTAL,B-727-200,None,7/3/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,29.9902,-95.3368,134
127,CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,7/5/1990,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,125.0,35.2144,-80.9473,269
128,CHARLESTON AFB/INTL ARPT,MD-80,None,7/6/1990,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0,32.894268,-80.038159,242
129,SACRAMENTO INTL,B-737-200,None,7/6/1990,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,125.0,38.575764,-121.478851,352
130,LOUISVILLE INTL ARPT,B-737,None,7/7/1990,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0,38.186,-85.7412,272
131,MINETA SAN JOSE INTL,B-767,Minor,7/8/1990,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0,37.3639,-121.9289,120
132,SALT LAKE CITY INTL,MD-80,None,7/8/1990,AMERICAN AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,,40.7899,-111.9791,236
133,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,7/8/1990,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,134.0,35.2144,-80.9473,269
134,CHICAGO O'HARE INTL ARPT,B-727,None,7/8/1990,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,210.0,41.9803,-87.909,430
135,SEATTLE-TACOMA INTL,DC-10,None,7/9/1990,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0,47.448,-122.3088,103
136,ATLANTA INTL,B-737,None,7/10/1990,UNITED AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,,33.6407,-84.4277,211
137,MEMPHIS INTL,MD-80,None,7/10/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,130.0,35.1495,-90.049,272
138,SALT LAKE CITY INTL,B-727,Minor,7/11/1990,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350.0,40.7899,-111.9791,236
139,ATLANTA INTL,B-767,None,7/11/1990,DELTA AIR LINES,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,130.0,33.6407,-84.4277,211
140,SAN FRANCISCO INTL ARPT,L-1011,None,7/11/1990,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,,37.6213,-122.379,146
141,CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,7/12/1990,BUSINESS,Ohio,Approach,Small,American robin,Day,0,0,0,130.0,41.4058,-81.8539,98
142,LIHUE ARPT,B-737-300,Substantial,7/13/1990,ALOHA AIRLINES,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,85.0,21.9788,-159.3438,217
143,LOS ANGELES INTL,MD-80,None,7/13/1990,ALASKA AIRLINES,California,Landing Roll,Small,American kestrel,Day,0,0,0,125.0,33.9416,-118.4085,166
144,GREATER PITTSBURGH,MD-80,None,7/15/1990,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0,40.3565,-79.9193,289
145,NASHVILLE INTL,MD-80,None,7/15/1990,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120.0,36.1263,-86.6774,297
